Date,Open,High,Low,Close,Adj Close,Volume
12/16/2016,52920,52996.89844,51980.30078,52154.69922,51973.87109,13605
12/19/2016,52387,52387,51431,51561.60156,51382.83984,4267
12/20/2016,51434,51923.89844,49680,49825.30078,49652.54297,12476
12/21/2016,50188,50188,48800,48855.10156,48685.71875,11398
12/22/2016,48797.69922,49249,48055.19922,48234.60156,48067.37109,9556
12/23/2016,48370,49685,47968.10156,48996.5,48826.625,10845
12/26/2016,48998.80078,49005.10156,48000,48319.39844,48151.875,6624
12/27/2016,48556.80078,48840,47512.30078,48692.89844,48524.08203,10685
12/28/2016,48998.89844,49089.89844,48356.39844,48485.89844,48317.79688,5321
12/29/2016,48350,48980,48350,48893.80078,48724.28125,9163
12/30/2016,49100,49300,48500,48905.60156,48736.04297,7871
1/2/2017,49000,49304.89844,48799.80078,49084.39844,48914.21875,8367
1/3/2017,49388.89844,50500,49101.19922,50391.39844,50216.6875,9526
1/4/2017,50679.80078,50769.80078,50181.60156,50386.10156,50211.41016,7045
1/5/2017,50698.60156,51990,50550.10156,51710.60156,51531.3125,8444
1/6/2017,52000,52686.5,51125,51579.19922,51400.375,14670
1/9/2017,51579.19922,51797,50825.69922,51349.10156,51171.07031,5351
1/10/2017,51649.89844,53666,49808.69922,53025.10156,52841.26953,14460
1/11/2017,53699,55554.39844,53400.10156,55400,55207.92578,35021
1/12/2017,55530.10156,55945,54625.10156,55011.60156,54820.87891,18119
1/13/2017,55098.89844,55298.89844,52890,53359.60156,53174.59766,22090
1/16/2017,53299,53857.60156,52559.89844,53092.10156,52908.02734,13559
1/17/2017,53050,54380.60156,53050,53678.80078,53492.69141,15203
1/18/2017,53800,54100,52802,53006.89844,52823.12109,9948
1/19/2017,53000,53046.10156,51814.5,51992.19922,51811.93359,13607
1/20/2017,51890,52549.89844,51400,51668.89844,51489.75781,9801
1/23/2017,51668,52840,51668,52351.69922,52170.19141,23689
1/24/2017,52679.39844,52879.89844,52210.10156,52466.39844,52284.49609,7489
1/25/2017,52699,53180,52000,53066.69922,52882.70703,8561
1/27/2017,53080,53633,53080,53339.19922,53154.26172,6477
1/30/2017,53440,53440,51801.10156,51929.89844,51749.85547,12036
1/31/2017,51998,52140,51000,51659.5,51480.39453,12635
2/1/2017,51401,52840,51401,52585.10156,52402.78516,11729
2/2/2017,52600,52740,51351,51590.89844,51412.03516,10660
2/3/2017,51681.80078,52654.10156,50050.10156,51059.39844,50882.37109,39215
2/6/2017,51684.80078,51684.80078,50097.30078,50240.10156,50065.91797,17664
2/7/2017,50690,51040,49759.60156,50434.80078,50259.94141,21900
2/8/2017,50666,51799.89844,50350,51604.39844,51425.48047,13393
2/9/2017,51750,51985,51250,51685.69922,51506.50391,7391
2/10/2017,51850,51879.30078,51310,51472.39844,51293.94141,4384
2/13/2017,51551.10156,51680.30078,50660.10156,50827.19922,50650.98438,5749
2/14/2017,51020,51630.60156,50010,50195.19922,50024.11719,5866
2/15/2017,50200.10156,50582,49935.60156,49997.10156,49826.69922,8012
2/16/2017,50180,50858,49600,50538.10156,50365.85938,16212
2/17/2017,50780,50900,50001.10156,50102.19922,49931.4375,10380
2/20/2017,50100,50595,49950,50414.80078,50242.97266,4347
2/21/2017,50451,50679.39844,50100,50195.39844,50024.31641,4084
2/22/2017,50399.89844,50600,49577,49767.89844,49598.27734,13002
2/23/2017,49900,51700,49714.80078,51499.10156,51323.58594,22055
2/27/2017,51650,52029.89844,50700,51437.10156,51261.78516,13966
2/28/2017,51437.19922,52529.89844,51370.10156,51835.10156,51658.4375,14966
3/1/2017,51999,53150,51999,52819.39844,52639.37109,13943
3/2/2017,53185,53362.5,51845,51951.60156,51774.54688,8861
3/3/2017,52300,52630,51713.39844,52072.89844,51895.42188,12544
3/6/2017,52398,52500,51951.10156,52375.60156,52197.09375,7600
3/7/2017,52282,52565.89844,51953.19922,52167.89844,51990.08984,6731
3/8/2017,52260,52372.10156,51086.69922,51527.80078,51352.17969,9537
3/9/2017,51500,52366.60156,51205,52031.39844,51854.06641,12197
3/10/2017,52366,52450,51950,52220.30078,52042.32031,9186
3/14/2017,52750,53427.89844,52100,52983.89844,52803.32031,18744
3/15/2017,53381.19922,57984,53291.19922,56836.60156,56642.88672,82609
3/16/2017,57300,57448.89844,56200,56425.60156,56233.29297,15441
3/17/2017,56400,56700,54967.60156,55427.89844,55238.98828,43538
3/20/2017,56305,57090.60156,55801,56019.39844,55828.46875,23491
3/21/2017,56500,58300,55854.30078,58045.10156,57847.26563,28250
3/22/2017,57600,58450,57500,57849.19922,57652.03516,20754
3/23/2017,58000,59684.39844,57601,59507.10156,59304.28125,36778
3/24/2017,59499.89844,59650,59001,59308.80078,59106.66797,19247
3/27/2017,59499,60145,59125.19922,59888.5,59684.37891,20169
3/28/2017,59855.39844,60300,57947.39844,58315.39844,58116.64844,19851
3/29/2017,58499.89844,59790.80078,57801,59578.39844,59375.33984,24086
3/30/2017,59125,60200,59125,59823.60156,59619.70313,19147
3/31/2017,59550,61220,59550,60954.39844,60746.65234,24685
4/3/2017,60935,61386.69922,60240,60993.60156,60785.71875,14263
4/5/2017,60993.60156,61271.80078,60372,60685.39844,60478.57031,12463
4/6/2017,60552,61399,60211,61104.89844,60896.64063,18995
4/7/2017,60655,61780,60601.10156,61036.10156,60828.07422,14389
4/10/2017,61195.69922,61382.89844,60620,60767.39844,60560.29297,7631
4/11/2017,61179,62200,60901,62063.39844,61851.87109,17051
4/12/2017,62010,62199.89844,60062.39844,60527.10156,60320.80469,20550
4/13/2017,60530.89844,61200,60300,60566.60156,60360.17578,10623
4/17/2017,60720,62158,60311.39844,61948.60156,61737.46094,21463
4/18/2017,61950,63099,61600.10156,62596.10156,62382.75391,23539
